Group,Sample ID,Height,87/86Sr,rsInternal Precision,Stable Sr,ssInternal Precision,44/40Ca,Internal Precision,d13c,d18o,ppm in rock,Na,Mg,Al ,K,Ca,Ti,Mn,Rb,Sr,Ba,δSsulfate34,δSpyrite34,ΔS34,[CAS],FeS2- S
CuCap,MM27,299.60,0.70674,0.000007,0.361,0.0074,-0.7340819,0.0204621,5.131,-6.596,,93.9946,13508.36,84.4991,50.0649,405882.43,1110.4574,32.259,0.19523,1073.6036,7.9199, ,26.22, , , 
CuCap,MM28,144.00,0.70894,0.000006,0.365,0.0073,,,-6.453,-6.590,,138.3316,5762.25,3574.9162,690.3886,542176.41,341.1924,624.9136,4.27787,320.183,7.5197,-0.48,-1.38,0.90,8286.11,2208.80
CuCap,MM29,296.30,0.70671,0.000007,0.398,0.0077,,, , ,,101.8325,7883.33,72.598,64.4853,435535.69,1310.1818,43.6354,0.20363,807.5372,3.521, ,30.90, , , 
CuCap,MM30,281.40,0.70644,0.000006,0.356,0.0077,,,6.413,-2.877,,101.8969,3341.06,102.2693,51.0335,419264.48,1223.9517,62.2465,0.20962,1487.406,18.2448,32.81,33.03,-0.22, , 
CuCap,MM31,254.90,0.70655,0.000006,,,,,3.814,-4.182,,124.2488,17838.13,443.003,473.726,390377.63,989.1043,92.6718,2.40744,1854.8699,8.682, ,21.39, , ,108.96
CuCap,MM32,286.60,0.70655,0.000006,0.380,0.0076,-0.7740862,0.0246193,4.526,-5.439,,100.6513,6051.97,60.5698,53.4622,417446.13,1251.6858,103.1194,0.15261,1299.7365,4.0007,25.80,28.47,-2.67, , 
CuCap,MM33,191.10,,,,,,,-3.147,-5.980,,20.673,7555.69,14.3177,10.0974,102531.47,73.6163,36.9644,0.04487,49.1262,0.6845,23.46,-11.81,35.27,94.81,648.31
CuCap,MM34,352.40,0.70803,0.000006,0.560,0.0066,,,5.199,-17.079,,9.2272,328.27,193.6061,120.5824,193198.68,978.9679,366.7116,0.61374,145.5082,3.1804,25.95,-18.66,44.61,165.03,1.87
Halverson,HP1,303.80,0.70644,,,,,,8.100,-5.200,,,,,,,,,,,,,,,,
Halverson,HP2,291.20,0.70669,,,,,,7.600,-5.900,,,,,,,,,,,,,,,,
Halverson,HP3,280.60,0.70664,,,,,,5.100,-6.600,,,,,,,,,,,,,,,,
Halverson,HP4,262.50,0.70674,,,,,,6.400,-2.900,,,,,,,,,,,,,,,,
Halverson,HP5,208.30,0.70663,,,,,,-2.200,-2.400,,,,,,,,,,,,,,,,
Halverson,HP6,204.20,0.70666,,,,,,-1.500,-4.200,,,,,,,,,,,,,,,,
CuCap,MM1-A,316.10,,,,,,,,,,143.1724245,8198.241045,108.3598399,40.81533899,271230.9529,976.2824721,21.69292911,0.020050003,1570.752497,11.21025008,,,,,
CuCap,MM1-B,316.10,,,,,,,,,,128.5268474,44947.50776,461.0417904,196.3997922,1020421.581,277.6631841,43.92744371,0.112491113,597.9123219,9.986063285,,,,,
CuCap,MM3-A,287.90,,,,,,,,,,138.6708943,4228.465352,216.5914031,86.15347575,360944.4725,1375.169867,28.05588335,0.023830912,669.0279845,3.905901909,,,,,
CuCap,MM3-B,287.90,,,,,,,,,,136.0199132,3962.551926,167.4450509,83.11834059,345154.2449,1381.841714,27.66540645,0.022817226,641.4133746,2.398074994,,,,,
CuCap,MM5-A,187.50,,,,,,,,,,304.0837529,61181.64582,319.7907776,216.4811474,271229.4081,862.6903607,464.7406465,0.082368289,479.8008121,12.15536908,,,,,
CuCap,MM5-B,187.50,,,,,,,,,,302.5125665,57085.53642,274.1858934,195.3388385,272876.3218,898.0036969,457.5446624,0.075604082,477.194567,15.52121662,,,,,
CuCap,MM7-A,293.40,,,,,,,,,,120.6915437,2966.928712,94.28445745,49.71782747,359206.9536,1319.195283,29.71009331,0.01520098,784.3448529,2.389020135,,,,,
CuCap,MM7-B,293.40,,,,,,,,,,137.8341209,3307.616581,118.1027299,61.49944129,365133.1021,1315.825524,26.52672709,0.017683002,983.1649557,2.676866575,,,,,
CuCap,MM9-A,228.90,,,,,,,,,,153.0357308,46053.81175,2188.298417,1461.893199,264675.3639,884.0945717,47.67030311,1.289539178,1682.916457,10.89417647,,,,,
CuCap,MM9-B,228.90,,,,,,,,,,151.8916622,41360.24336,1731.909092,1228.974311,255279.6117,923.8847084,46.65412273,1.088538208,1752.74057,10.25160708,,,,,
CuCap,MM12-A,148.10,,,,,,,,,,487.9366247,41524.23646,15649.26158,4172.134127,125144.9581,451.5202098,702.4271334,1.603962152,329.2519763,30.70230744,,,,,
CuCap,MM12-B,148.10,,,,,,,,,,492.8279651,39644.29878,17272.59211,4447.625768,116148.1244,441.1457453,683.74501,1.71859233,306.1007077,32.07081081,,,,,
CuCap,MM13-A,93.00,,,,,,,,,,1818.394256,20698.66523,5479.215289,3045.751164,185045.7928,738.1969624,727.5180845,1.173557673,259.4757881,27.24552183,,,,,
CuCap,MM13-B,93.00,,,,,,,,,,1146.617056,11863.44435,2953.569558,1833.783057,213293.8892,788.7242467,736.3599884,0.648194441,294.1474147,16.30678242,,,,,
CuCap,MM16-A,345.00,,,,,,,,,,27.22638845,1488.979669,167.6134282,43.67970302,355956.3597,1381.273929,102.2012702,0.01811012,184.7762859,15.01347273,,,,,
CuCap,MM16-B,345.00,,,,,,,,,,22.9174683,1422.888868,149.7929827,48.41468766,365326.5759,1428.914259,130.2300717,0.019811039,170.9225074,6.65538576,,,,,
CuCap,MM18-A,82.80,,,,,,,,,,1582.769441,17574.52812,6772.447854,3635.207546,142337.252,561.9994114,560.1698695,1.294780678,114.6247794,41.78155019,,,,,
CuCap,MM18-B,82.80,,,,,,,,,,2061.104179,7743.626775,5041.901825,2813.59031,173833.6292,731.4048208,600.1471256,0.945419521,157.3544486,28.20653393,,,,,
CuCap,MM21-A,326.90,,,,,,,,,,85.20014942,19759.02507,228.7109297,75.65992324,285788.5783,990.8826547,67.1903292,0.035676755,4700.015663,20.16289221,,,,,
CuCap,MM21-B,326.90,,,,,,,,,,7.583473418,6635.178417,9.97393349,8.754651036,18447.22729,58.73953223,11.044092,0.00511338,639.0130429,1.29764741,,,,,
CuCap,MM23-A,348.50,,,,,,,,,,106.3001652,3325.227138,540.8903801,512.2063468,338684.6248,1242.034544,130.4450214,0.270038197,967.9722645,11.50878432,,,,,
CuCap,MM23-B,348.50,,,,,,,,,,97.48845009,3083.016452,1218.946481,473.4497262,318274.9789,1215.129478,101.2965301,0.236654807,945.8042229,10.69444243,,,,,
CuCap,MM25-A,356.50,,,,,,,,,,59.38129139,2478.216318,1373.757896,586.9672726,331939.6834,1267.304629,3688.866027,0.229038823,320.0760706,5.324630145,,,,,
CuCap,MM25-B,356.50,,,,,,,,,,66.1103626,8232.801366,10420.14201,2047.182397,208100.3829,739.1250202,2229.376203,0.74209583,289.5566074,23.556646,,,,,
CuCap,MM27-A,299.60,,,,,,,,,,92.61302152,11386.03269,194.93307,114.0206493,329988.1292,1265.271946,39.29727664,0.037669909,1429.032651,9.436339317,,,,,
CuCap,MM27-B,299.60,,,,,,,,,,97.28095081,11324.37633,236.531906,137.7118019,334714.9566,1289.669956,38.66180525,0.045692567,1249.016333,9.628495123,,,,,
CuCap,MM28-A,144.00,,,,,,,,,,636.1014234,28461.90817,12949.51338,2892.330573,109956.1811,412.1195117,632.6522809,1.177891276,304.1081612,27.62526985,,,,,
CuCap,MM28-B,144.00,,,,,,,,,,77.58065768,2870.966805,1422.784017,333.2708681,11513.05041,44.75333769,64.66805248,0.133571244,34.11240304,2.593001343,,,,,
CuCap,MM32-A,286.60,,,,,,,,,,126.9009693,3063.499758,150.7465198,75.62594176,347186.0084,1362.506411,72.30151978,0.021921904,691.3262447,2.230323396,,,,,
CuCap,MM32-B,286.60,,,,,,,,,,93.64842992,13157.69285,278.0623593,222.1795726,316145.0545,1275.892647,127.7091042,0.095436777,1239.638352,5.838779419,,,,,
CuCap,Maloof1,68.3,,,,,,,-6.064,-7.714,,,,,,,,,,,,,,,,
CuCap,Maloof2,69.5,,,,,,,-6.983,-8.350,,,,,,,,,,,,,,,,
CuCap,Maloof3,70.6,,,,,,,-7.404,-7.595,,,,,,,,,,,,,,,,
CuCap,Maloof4,135.7,,,,,,,-6.635,-7.566,,,,,,,,,,,,,,,,
CuCap,Maloof5,137,,,,,,,-8.037,-3.657,,,,,,,,,,,,,,,,
