Group,Sample ID,Height,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,,rsRep 1 Wheel #,rsRep 1 date,rsRep 1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 87/86Sr,rsRep 2 internal precision,ssWheel Number,ssDate,ssSample mass for analysis,ssSpike mass for analysis,,Stable Sr,ssInternal Precision,ssRep 1 Wheel #,ssRep 1 date,ssrep 1 value,ssrep 1 internal precision,ssRep 2 Wheel #,ssRep 2 date,srsRep 2 88/86,ssRep 2 internal precision,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,,Rep 2 Wheel #,CaRep 2 date,CaRep 2,CaRep 2 internal precision,,Ca ppm,Sr ppm ,Mg ppm,Mn ppb,Rb ppb,d13c,d18o,δSsulfate34,δSpyrite34,ΔS34,[CAS],FeS2- S
JWang OAE,Jwang5,405.83,,,,,,0.70733,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,-0.770,,,,,,,,,,,,,386984.00,182.00,2865.00,54.00,,2.68,-1.80,,,,,
JWang OAE,Jwang6,483.15,,,,,,0.70727,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,-1.000,,,,,,,,,,,,,394683.00,234.00,4211.00,39.00,,1.28,-3.41,,,,,
JWang OAE,Jwang7,521.4,,,,,,0.70730,,,,,,,,,,,,,,,,0.270,,,,,,,,,,,,,,,-0.870,,,,,,,,,,,,,343013.00,255.00,3361.00,41.00,,2.60,-1.82,,,,,
JWang OAE,Jwang8,550.52,,,,,,0.70733,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,367521.00,264.00,3874.00,43.00,,2.90,-2.68,,,,,
JWang OAE,Jwang9,571.15,,,,,,0.70732,,,,,,,,,,,,,,,,0.260,,,,,,,,,,,,,,,-1.040,,,,,,,,,,,,,373322.00,316.00,4402.00,46.00,,2.04,-2.21,,,,,
JWang OAE,Jwang10,589.87,,,,,,0.70733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.880,,,,,,,,,,,,,395135.00,258.00,4263.00,31.00,,2.76,-1.96,,,,,
JWang OAE,Jwang11,618.34,,,,,,0.70736,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-0.940,,,,,,,,,,,,,378463.00,289.00,4572.00,42.00,,4.00,-1.70,,,,,
JWang OAE,Jwang12,648.4,,,,,,0.70735,,,,,,,,,,,,,,,,0.270,,,,,,,,,,,,,,,-1.000,,,,,,,,,,,,,378825.00,330.00,4842.00,91.00,,4.20,-1.38,,,,,
JWang OAE,Jwang13,666.82,,,,,,0.70736,,,,,,,,,,,,,,,,0.270,,,,,,,,,,,,,,,-1.160,,,,,,,,,,,,,396037.00,378.00,3961.00,43.00,,5.12,-1.60,,,,,
JWang OAE,Jwang14,686.3,,,,,,0.70736,,,,,,,,,,,,,,,,0.260,,,,,,,,,,,,,,,-1.090,,,,,,,,,,,,,395126.00,385.00,3859.00,37.00,,3.70,-2.67,,,,,
JWang OAE,Jwang15,696.8,,,,,,0.70736,,,,,,,,,,,,,,,,0.250,,,,,,,,,,,,,,,-1.060,,,,,,,,,,,,,384823.00,401.00,4342.00,39.00,,3.92,-2.37,,,,,
JWang OAE,Jwang16,725.1,,,,,,0.70740,,,,,,,,,,,,,,,,0.260,,,,,,,,,,,,,,,-1.030,,,,,,,,,,,,,397212.00,345.00,4112.00,42.00,,3.68,-2.40,,,,,
JWang OAE,Jwang17,744.15,,,,,,0.70741,,,,,,,,,,,,,,,,0.270,,,,,,,,,,,,,,,-0.990,,,,,,,,,,,,,389523.00,378.00,3783.00,39.00,,3.80,-2.08,,,,,
JWang OAE,Jwang18,763.2,,,,,,0.70741,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,-0.890,,,,,,,,,,,,,383721.00,369.00,3551.00,31.00,,4.65,-1.98,,,,,
JWang OAE,Jwang19,772.65,,,,,,0.70749,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-0.890,,,,,,,,,,,,,366748.00,267.00,3678.00,32.00,,4.32,-2.43,,,,,
JWang OAE,Jwang20,794.45,,,,,,0.70750,,,,,,,,,,,,,,,,0.330,,,,,,,,,,,,,,,-0.880,,,,,,,,,,,,,374273.00,358.00,3561.00,37.00,,2.00,-1.72,,,,,
JWang OAE,Jwang21,821.6,,,,,,0.70748,,,,,,,,,,,,,,,,0.280,,,,,,,,,,,,,,,-0.910,,,,,,,,,,,,,371683.00,404.00,4762.00,62.00,,-0.64,-1.30,,,,,
JWang OAE,Jwang22,850.81,,,,,,0.70751,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,-0.950,,,,,,,,,,,,,370271.00,431.00,5697.00,39.00,,0.52,-2.30,,,,,
JWang OAE,Jwang23,868.9,,,,,,0.70747,,,,,,,,,,,,,,,,0.270,,,,,,,,,,,,,,,-1.060,,,,,,,,,,,,,384991.00,403.00,5729.00,33.00,,2.22,-2.31,,,,,
JWang OAE,Jwang24,878.8,,,,,,0.70747,,,,,,,,,,,,,,,,0.280,,,,,,,,,,,,,,,-1.070,,,,,,,,,,,,,385983.00,394.00,4634.00,39.00,,2.17,-2.86,,,,,
JWang OAE,Jwang25,888.17,,,,,,0.70749,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,-0.960,,,,,,,,,,,,,396232.00,363.00,4281.00,31.00,,2.30,-2.40,,,,,
JWang OAE,Jwang26,907.85,,,,,,0.70747,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,-0.950,,,,,,,,,,,,,395882.00,311.00,5970.00,39.00,,2.54,-2.87,,,,,
JWang OAE,Jwang27,924,,,,,,0.70751,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,-0.880,,,,,,,,,,,,,383325.00,391.00,6055.00,54.00,,0.31,-2.54,,,,,
JWang OAE,Jwang28,943.13,,,,,,0.70750,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-1.020,,,,,,,,,,,,,380473.00,449.00,6332.00,35.00,,1.33,-2.51,,,,,
JWang OAE,Jwang29,972.33,,,,,,0.70751,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,-0.960,,,,,,,,,,,,,386491.00,266.00,8676.00,36.00,,2.40,-2.25,,,,,
JWang OAE,Jwang30,1010.93,,,,,,0.70750,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-0.910,,,,,,,,,,,,,381463.00,369.00,5831.00,42.00,,2.53,-1.81,,,,,
JWang OAE,Jwang31,1058.2,,,,,,0.70751,,,,,,,,,,,,,,,,0.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,386347.00,225.00,9127.00,35.00,,1.50,-2.59,,,,,
JWang OAE,Jwang32,1107.2,,,,,,0.70748,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,-0.930,,,,,,,,,,,,,383040.00,333.00,15908.00,29.00,,2.65,-2.27,,,,,
JWang OAE,Jwang33,1193.75,,,,,,0.70748,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-0.910,,,,,,,,,,,,,338819.00,377.00,12472.00,32.00,,1.49,-2.84,,,,,
JWang NeoP,A-1,2.2,,,,,,0.70845,,,,,,,,,,,,,,,,0.350,,,,,,,,,,,,,,,-0.750,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-2,4.4,,,,,,0.70849,,,,,,,,,,,,,,,,0.390,,,,,,,,,,,,,,,-0.800,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-3,7.6,,,,,,0.70854,,,,,,,,,,,,,,,,0.310,,,,,,,,,,,,,,,-0.980,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-4,9.6,,,,,,0.70856,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,-0.970,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-5,11.4,,,,,,0.70868,,,,,,,,,,,,,,,,0.350,,,,,,,,,,,,,,,-0.940,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-6,15.3,,,,,,0.70845,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,-0.910,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-7,18,,,,,,0.70976,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-1.070,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-8,21,,,,,,0.70981,,,,,,,,,,,,,,,,0.310,,,,,,,,,,,,,,,-1.180,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-9,23.2,,,,,,0.71006,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-1.090,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-10,25.7,,,,,,0.71008,,,,,,,,,,,,,,,,0.260,,,,,,,,,,,,,,,-1.190,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-11,30.3,,,,,,0.70954,,,,,,,,,,,,,,,,0.410,,,,,,,,,,,,,,,-1.200,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-12,34.6,,,,,,0.71145,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-0.970,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-13,59.5,,,,,,0.71187,,,,,,,,,,,,,,,,0.190,,,,,,,,,,,,,,,-0.810,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-14,70.1,,,,,,0.71026,,,,,,,,,,,,,,,,0.360,,,,,,,,,,,,,,,-1.260,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-15,80.2,,,,,,0.70856,,,,,,,,,,,,,,,,0.430,,,,,,,,,,,,,,,-1.290,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-16,93.4,,,,,,0.70985,,,,,,,,,,,,,,,,0.430,,,,,,,,,,,,,,,-1.320,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-17,104.3,,,,,,0.70873,,,,,,,,,,,,,,,,0.510,,,,,,,,,,,,,,,-1.360,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-18,117.2,,,,,,0.70855,,,,,,,,,,,,,,,,0.470,,,,,,,,,,,,,,,-1.260,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-19,127.2,,,,,,0.70887,,,,,,,,,,,,,,,,0.450,,,,,,,,,,,,,,,-1.240,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-20,135.2,,,,,,0.71106,,,,,,,,,,,,,,,,0.490,,,,,,,,,,,,,,,-1.260,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,A-21,140.5,,,,,,0.70931,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,-1.300,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-1,0.1,,,,,,0.70872,,,,,,,,,,,,,,,,0.340,,,,,,,,,,,,,,,-1.180,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-2,0.9,,,,,,0.70841,,,,,,,,,,,,,,,,0.340,,,,,,,,,,,,,,,-1.120,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-3,3,,,,,,0.70901,,,,,,,,,,,,,,,,0.350,,,,,,,,,,,,,,,-1.080,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-4,4.8,,,,,,0.70864,,,,,,,,,,,,,,,,0.340,,,,,,,,,,,,,,,-1.020,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-5,7,,,,,,0.70857,,,,,,,,,,,,,,,,0.360,,,,,,,,,,,,,,,-1.110,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-6,9,,,,,,0.70945,,,,,,,,,,,,,,,,0.330,,,,,,,,,,,,,,,-1.040,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-7,11,,,,,,0.70953,,,,,,,,,,,,,,,,0.380,,,,,,,,,,,,,,,-1.240,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-8,13,,,,,,0.70960,,,,,,,,,,,,,,,,0.380,,,,,,,,,,,,,,,-1.240,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-9,15,,,,,,0.71014,,,,,,,,,,,,,,,,0.350,,,,,,,,,,,,,,,-1.340,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-10,17,,,,,,0.71040,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,-1.250,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-11,21.2,,,,,,0.70952,,,,,,,,,,,,,,,,0.360,,,,,,,,,,,,,,,-1.190,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-12,26.2,,,,,,0.70866,,,,,,,,,,,,,,,,0.430,,,,,,,,,,,,,,,-1.080,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-13,36.7,,,,,,0.70948,,,,,,,,,,,,,,,,0.340,,,,,,,,,,,,,,,-1.210,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-14,45.6,,,,,,0.70922,,,,,,,,,,,,,,,,0.340,,,,,,,,,,,,,,,-1.290,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-15,55,,,,,,0.70998,,,,,,,,,,,,,,,,0.300,,,,,,,,,,,,,,,-1.190,,,,,,,,,,,,,,,,,,,,,,,,
JWang NeoP,O-16,73,,,,,,0.71048,,,,,,,,,,,,,,,,0.250,,,,,,,,,,,,,,,-1.160,,,,,,,,,,,,,,,,,,,,,,,,
