Group,Sample ID,Sample Name,Height,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,,rsRep 1 Wheel #,rsRep 1 date,rsRep 1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 87/86Sr,rsRep 2 internal precision,,ssSample mass for analysis,ssSpike mass for analysis,,ssWheel Number,ssDate,Stable Sr,ssInternal Precision,,ssRep 1 Wheel #,ssRep 1 date,ssrep 1 value,ssrep 1 internal precision,ssRep 2 Wheel #,ssRep 2 date,srsRep 2 88/86,ssRep 2 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,,Rep 2 Wheel #,CaRep 2 date,CaRep 2,CaRep 2 internal precision,,Sr mmol in rock,Ca mol in rock,Mg mol in rock,d13C,d18O,d26/24 Mg vs DSM 3,d7Li vs LSVEC,Mg (mol/mol Ca),Sr (mmol/mol Ca),Mn (mmol/mol Ca),Li (μmol/mol Ca)
PCsamples,PC24,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.02,,,,#DIV/0!,,
PCsamples,PC25,,62.5,,,W968,5/12/21,,0.70759,0.000007,,,,,,,,,,,2.023,0.59225,,W1026,high [sr],,,,,,,,,,,,,0.05207,0.58152,,W1003_05_06_07,11/24/21,-0.982942,0.021953,,,,,,,,,,,,0.747,5.39E+03,,0.83,-1.74,,,,1.39E-04,,
PCsamples,PC26,,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,-4.16,,,,#DIV/0!,,
PCsamples,PC27,,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,-0.49,,,,#DIV/0!,,
PCsamples,PC28,,68,,,,,,,,,,,,,,,,,,2.221,0.61351,,W1023.1,1/24/22,,no rad,,,,,,,,,,,0.05264,0.60608,,W1008,11/30/2021,-1.0556,0.0219,,,,,,,,,,,,0.703,5.34E+03,,0.96,-3.26,,,,1.32E-04,,
PCsamples,PC29,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,-2.57,,,,#DIV/0!,,
PCsamples,PC30,,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,-5.62,,,,#DIV/0!,,
PCsamples,PC31,,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,-4.22,,,,#DIV/0!,,
PCsamples,PC32,,72.6,,,W979,6/14/21,,0.70733,0.000007,,,,,,,,,,,1.46921,0.60425,,W1023.1,1/24/22,0.0272400,0.0081600,,,,,,,,,,,0.05246,0.59243,,W1008,11/30/21,-0.7448,0.0236,,,,,,,,,,,,0.104,5.35E+02,,0.44,-5.74,,,,1.95E-04,,
PCsamples,PC33,,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,-1.21,,,,#DIV/0!,,
PCsamples,PC34,,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,-1.38,,,,#DIV/0!,,
PCsamples,PC35,,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,-2.52,,,,#DIV/0!,,
PCsamples,PC36,,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,-2.94,,,,#DIV/0!,,
PCsamples,PC37,,77.7,,,W970,5/25/21,,0.707377,0.00001,,,,,,,,,,,1.01831,0.62556,,W1026,weird [sr],,,,,,,,,,,,,0.05127,0.59082,,,,,,,,,,,,,,,,,1.490,5.36E+03,,0.55,-6.03,,,,2.78E-04,,
PCsamples,PC38,,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,-1.57,,,,#DIV/0!,,
PCsamples,PC39,,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,-4.35,,,,#DIV/0!,,
PCsamples,PC40,,81.6,,,W970,5/25/21,,0.707006,0.00001,,,,,,,,,,,2.35997,0.63783,,W1026,2/8/22,0.1166160,0.0082700,,,,,,,,,,,0.05319,0.59513,,,,,,,,,,,,,,,,,0.664,5.31E+03,,1.14,-2.1,,,,1.25E-04,,
PCsamples,PC41,,83.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,-1.43,,,,#DIV/0!,,
PCsamples,PC42,,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,-3.19,,,,#DIV/0!,,
PCsamples,PC43,,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,-3.23,,,,#DIV/0!,,
PCsamples,PC44,,88.6,,,W979,6/14/21,,0.707981,0.000007,,,,,,,,,,,1.35469,0.61818,,W1023.1,1/24/22,-0.95395,0.00681,,,,,,,,,,,0.05285,0.5711,,,,,,,,,,,,,,,,,1.124,5.26E+03,,-0.26,-8.45,,,,2.14E-04,,
PCsamples,PC45,,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,-9.85,,,,#DIV/0!,,
PCsamples,PC46,,92.6,,,W979,6/14/21,,0.707384,0.000006,,,,,,,,,,,2.30141,0.59815,,,,,,,,,,,,,,,,0.05453,0.59943,,,,,,,,,,,,,,,,,0.693,5.34E+03,,-0.07,-1.59,,,,1.30E-04,,
PCsamples,PC47,,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-8.64,,,,#DIV/0!,,
PCsamples,PC48,,94.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,-7.55,,,,#DIV/0!,,
PCsamples,PC49,,96.2,,,W970,5/25/21,,0.709112,0.00001,,,,,,,,,,,3.377,0.59991,,W1026,weird [sr],,,,,,,,,,,,,0.05238,0.61331,,,,,,,,,,,,,,,,,0.440,5.20E+03,,0.67,-11.29,,,,8.46E-05,,
PCsamples,PC50,,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,-11.63,,,,#DIV/0!,,
PCsamples,PC51,,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,-12.17,,,,#DIV/0!,,
PCsamples,PC52,,100.6,,,W970,5/25/21,,0.710195,0.00001,,,,,,,,,,,3.40113,0.5977,,,,,,,,,,,,,,,,0.04934,0.586,,,,,,,,,,,,,,,,,0.354,5.26E+03,,1.21,-12.48,,,,6.74E-05,,
PCsamples,PC53,,101.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-11.62,,,,#DIV/0!,,
PCsamples,PC54,,104.3,,,W970,5/25/21,,0.710447,0.00001,,,,,,,,,,,3.33009,0.63174,,W1023.1,weird [sr],,,,,,,,,,,,,0.0506,0.59242,,,,,,,,,,,,,,,,,0.426,5.24E+03,,2.49,-12.86,,,,8.13E-05,,
PCsamples,PC55,,105.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,-13.39,,,,#DIV/0!,,
PCsamples,PC56,,106.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,-13.17,,,,#DIV/0!,,
PCsamples,PC57,,107.7,,,W970,5/25/21,,0.709912,0.00001,,,,,,,,,,,3.48427,0.63609,,,,,,,,,,,,,,,,0.04814,0.6082,,,,,,,,,,,,,,,,,0.036,5.30E+02,,2.75,-12.92,,,,6.87E-05,,
PCsamples,PC58,,109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,-11.99,,,,#DIV/0!,,
PCsamples,PC59,,110.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,-12.59,,,,#DIV/0!,,
PCsamples,PC60,,111.5,,,W970,5/25/21,,0.710529,0.00001,,,,,,,,,,,2.12016,0.62508,,W1023.1,weird [sr],,,,,,,,,,,,,0.05486,0.59879,,,,,,,,,,,,,,,,,0.747,5.24E+03,,2.24,-13.13,,,,1.43E-04,,
PCsamples,PC61,,113.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,-12.86,,,,#DIV/0!,,
PCsamples,PC62,,115.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,-13.12,,,,#DIV/0!,,
PCsamples,PC63,,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04829,0.61654,,,,,,,,,,,,,,,,,,5.49E+03,,3.35,-12.22,,,,0.00E+00,,
PCsamples,PB-1,,,,,,,,,,,,,,,,,,,,2.00399,0.03091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,-11.85,,,,,,
HigMeasured,PCh1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.49,-3.5,-1.22,1.03,0.84,0.34,5.48,1.81
HigMeasured,PCh2,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.05,,,,,,,,,,,,,,,,-4.95,-3.77,-1.24,3.19,0.84,0.42,5.37,8.78
HigMeasured,PCh3,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.24,-2.71,-1.37,5.32,0.97,0.2,0.5,1.42
HigMeasured,PCh4,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.26,,,,,,,,,,,,,,,,-3.22,-3.19,-1.4,3.55,0.97,0.25,0.54,1.21
